nombreImagen:tEjecucionSeam:tEjecucionRun:tEtotal:memoriaSeamCarvingNeta:memoriaRunLenthNeta:memoriaCompresion
are-cows-friendly-1280x850-1-1024x680 (1),csv:46,14373707771301:1,234891414642334:47,37862849235535:19,1484375:0,0:19,1484375
are-cows-friendly-1280x850-1-1024x680,csv:46,045021295547485:1,252535343170166:47,29755663871765:19,16015625:0,0:19,16015625
Are-you-a-bull-or-a-cow-1,csv:67,24267649650574:1,5108699798583984:68,75354647636414:25,01953125:0,05078125:25,0703125
Aussie-academic-takes-first-step-in-creating-Google-Translate-for-cows_wrbm_large,csv:18,009085178375244:0,84696364402771:18,856048822402954:10,140625:0,0:10,140625
Austria-cow-AdobeStock_295313089,csv:57,20626902580261:1,375607967376709:58,58187699317932:20,72265625:0,17578125:20,8984375
Baby-coo,csv:361,0749044418335:3,983872413635254:365,05877685546875:130,01171875:0,4296875:130,44140625
bfejlu5tlffulhj2n6pt6kkwcy,csv:9,156024694442749:0,6581580638885498:9,814182758331299:5,01953125:0,0:5,01953125
BL07-COWS1,csv:68,23422598838806:1,5127735137939453:69,746999502182:31,015625:0,0:31,015625
Black-cow-calf-pair-BEEF2007AB_2,csv:4,1044440269470215:1,043097972869873:5,1475419998168945:3,20703125:0,0:3,20703125
Blosom---Tallest-Cow-ever-guinness-world-records_tcm25-386482,csv:14,726295232772827:0,8219332695007324:15,54822850227356:9,43359375:0,0:9,43359375
Blosom---Tallest-Cow-ever_headline-image-guinness-world-records_tcm25-386481,csv:7,464510679244995:0,6264879703521729:8,090998649597168:4,10546875:0,0:4,10546875
BOUW-ROCKY_Sommers-Melkveehouderij-VOF-Elsendorp_88596-1024x731,csv:49,88933777809143:1,3659396171569824:51,25527739524841:30,20703125:0,07421875:30,28125
bovino_sano,csv:5,667112827301025:1,1761224269866943:6,84323525428772:3,91015625:0,0:3,91015625
Brahman-Cow,csv:11,427043676376343:0,692385196685791:12,119428873062134:5,57421875:0,0:5,57421875
Brown-cow-lying-in-a-fiel-005,csv:57,04491972923279:1,3727505207061768:58,417670249938965:31,10546875:0,0625:31,16796875
brown-Guernsey-cow,csv:171,58594155311584:2,5990867614746094:174,18502831459045:61,1953125:0,99609375:62,19140625
brownswiss,csv:77,87027549743652:1,7056035995483398:79,57587909698486:27,765625:0,125:27,890625
calf,csv:592,3219494819641:5,539163827896118:597,8611133098602:157,6328125:17,65234375:175,28515625
